batch_id,source_id,arrival_date,incoming_weight_t,planned_sorting_intensity,current_stage,batch_status,priority,notes
B001,S04,2025-01-07T08:45:00,32.900,Medium,Completed,Completed,Medium,Industrial renewal; mixed hardwood and softwood; standard sort.
B002,S03,2025-01-16T10:29:00,46.700,Medium,Completed,Completed,High,High-quality industrial refit; strong higher-value recovery expected.
B003,S08,2025-01-26T10:36:00,22.300,Low,Completed,Completed,Low,Residential demolition; mostly board feedstock.
B004,S12,2025-02-07T07:26:00,38.200,Medium,Completed,Completed,Medium,Warehouse deconstruction; mixed sections.
B005,S01,2025-02-15T08:24:00,32.900,Medium,Completed,Completed,High,Bridge renewal hardwood; premium potential.
B006,S10,2025-02-25T09:30:00,26.600,High,Completed,Completed,Medium,Renovation strip-out; heavy contamination; low value yield.
B007,S03,2025-03-05T07:38:00,40.400,Medium,Completed,Completed,High,Industrial refit batch 2; clean sections.
B008,S12,2025-03-16T09:50:00,25.500,Medium,Completed,Completed,Medium,Warehouse deconstruction; mixed.
B009,S14,2025-03-26T10:34:00,19.100,High,Completed,Completed,Medium,Racking / mezzanine removal; composite and nailed sections.
B010,S05,2025-04-04T10:02:00,36.100,High,Completed,Completed,Medium,Fit-out demolition; premium shopfit timber with known treatment records.
B011,S08,2025-04-16T09:43:00,32.900,Low,Completed,Completed,Low,House demolition; feedstock-dominated.
B012,S16,2025-04-25T10:19:00,27.600,Medium,Completed,Completed,Medium,Purchased mixed lot; partial records.
B013,S01,2025-05-06T07:04:00,48.900,Medium,Completed,Completed,High,Wharf decking salvage; high-grade hardwood.
B014,S16,2025-05-16T07:20:00,21.200,Medium,Completed,Completed,Medium,Purchased mixed lot; some unknowns.
B015,S04,2025-05-26T10:11:00,35.000,Medium,Completed,Completed,High,Industrial renewal; consistent quality.
B016,S05,2025-06-04T08:18:00,37.200,High,Completed,Completed,Medium,Office fit-out; premium joinery timber; detailed inspections.
B017,S10,2025-06-15T07:18:00,44.600,High,Completed,Completed,Medium,"Renovation strip-out; unusually heavy sorting effort, weak economics."
B018,S07,2025-06-25T08:26:00,25.500,Medium,Completed,Completed,Medium,Retail fit-out; mixed.
B019,S08,2025-07-02T10:20:00,31.900,Low,Completed,Completed,Low,House demolition; feedstock-heavy.
B020,S13,2025-07-13T07:44:00,28.700,Medium,Completed,Completed,Medium,Warehouse deconstruction; mixed.
B021,S04,2025-07-23T10:43:00,45.700,Medium,Completed,Completed,High,Industrial renewal; strong yield.
B022,S02,2025-08-04T10:46:00,39.300,Medium,Completed,Completed,High,Platform renewal hardwood; premium potential.
B023,S11,2025-08-14T07:50:00,26.600,High,Completed,Completed,Medium,"House demolition; heavy inspection load, low yield."
B024,S06,2025-08-26T09:12:00,32.900,Medium,Completed,Completed,Medium,Commercial demolition; mixed sections.
B025,S06,2025-09-05T07:33:00,35.000,High,Completed,Completed,Medium,Commercial demolition; known-history premium sections.
B026,S13,2025-09-14T07:23:00,24.400,High,Completed,Completed,Medium,Warehouse deconstruction; composite panels and nails.
B027,S15,2025-09-28T08:49:00,34.000,High,Completed,Completed,High,Purchased salvage; unknown treatment history; heavy inspection.
B028,S09,2025-10-05T10:30:00,41.400,Low,Completed,Completed,Low,House demolition; feedstock-dominated.
B029,S04,2025-10-14T10:33:00,23.400,Medium,Completed,Completed,High,Industrial renewal; clean yield.
B030,S15,2025-10-23T10:02:00,80,High,Inspection,Partially Completed,High,Purchased salvage; conflicting records; whole batch held under inspection.
B031,S07,2025-11-06T09:44:00,35.100,Medium,Completed,Completed,Medium,Retail fit-out; completed by late November.
B032,S02,2025-11-16T07:47:00,34.100,Medium,Sorting,Partially Completed,High,Platform renewal; queued for sorting at snapshot.
B033,S16,2025-11-25T10:16:00,12.400,High,Inspection,Partially Completed,High,"Purchased mixed lot; high uncertainty; inspection closed, still unresolved."
B034,S14,2025-12-03T10:38:00,75,High,Processing,Partially Completed,Medium,"Racking removal; special-handling heavy; 16 t in inspection, 59 t processing."
B035,S09,2025-12-12T08:25:00,34.100,Low,Sorting,Partially Completed,Low,House demolition; queued for sorting at snapshot.
B036,S07,2025-12-21T07:47:00,12.400,Medium,Inspection,Partially Completed,Medium,"Retail fit-out; inspection closed, still unresolved."
